@relation train_big

@attribute AccX1 numeric
@attribute AccZ1 numeric
@attribute GyrY1 numeric
@attribute AccX2 numeric
@attribute AccZ2 numeric
@attribute GyrY2 numeric
@attribute AccX3 numeric
@attribute AccZ3 numeric
@attribute GyrY3 numeric
@attribute AccX4 numeric
@attribute AccZ4 numeric
@attribute GyrY4 numeric
@attribute AccX5 numeric
@attribute AccZ5 numeric
@attribute GyrY5 numeric
@attribute AccX6 numeric
@attribute AccZ6 numeric
@attribute GyrY6 numeric
@attribute AccX7 numeric
@attribute AccZ7 numeric
@attribute GyrY7 numeric
@attribute AccX8 numeric
@attribute AccZ8 numeric
@attribute GyrY8 numeric
@attribute AccX9 numeric
@attribute AccZ9 numeric
@attribute GyrY9 numeric
@attribute AccX10 numeric
@attribute AccZ10 numeric
@attribute GyrY10 numeric
@attribute AccX11 numeric
@attribute AccZ11 numeric
@attribute GyrY11 numeric
@attribute AccX12 numeric
@attribute AccZ12 numeric
@attribute GyrY12 numeric
@attribute AccX13 numeric
@attribute AccZ13 numeric
@attribute GyrY13 numeric
@attribute AccX14 numeric
@attribute AccZ14 numeric
@attribute GyrY14 numeric
@attribute AccX15 numeric
@attribute AccZ15 numeric
@attribute GyrY15 numeric
@attribute AccX16 numeric
@attribute AccZ16 numeric
@attribute GyrY16 numeric
@attribute AccX17 numeric
@attribute AccZ17 numeric
@attribute GyrY17 numeric
@attribute AccX18 numeric
@attribute AccZ18 numeric
@attribute GyrY18 numeric
@attribute AccX19 numeric
@attribute AccZ19 numeric
@attribute GyrY19 numeric
@attribute AccX20 numeric
@attribute AccZ20 numeric
@attribute GyrY20 numeric
@attribute Label {up,down,left,right,tilt_left,tilt_right}

@data
842,-298,26463,560,-217,47378,-638,-7,-98353,-2036,457,-143597,-161,-80,107195,689,-77,89329,539,42,-32500,40,142,-9756,10,-52,7134,130,7,10914,19,62,-12804,-73,-5,-4695,65,-13,16097,-20,11,-3963,-10,-42,-4085,20,32,1036,53,-17,5304,12,-18,-4878,-90,1,-1646,-13,-30,15243,up
1190,-335,-1280,719,-175,-9512,-1075,439,-78902,-2436,-153,32073,20,73,-11280,820,-87,34390,454,134,25060,234,116,-12865,167,-103,1951,-85,109,1341,-147,-34,4207,-23,-56,6524,119,66,-5609,56,-90,-4817,93,87,-7317,-91,29,4817,28,8,-914,33,9,2134,32,9,2865,-10,-36,975,up
1350,-202,30609,-264,48,10487,-252,-210,-5853,-2794,411,-78475,105,-165,56280,949,-339,16463,442,224,-56219,169,12,15975,148,-19,6036,87,109,-5975,-108,43,7439,38,-76,9817,-39,91,-16707,170,-20,1158,-16,58,-3048,6,-2,6158,-15,-41,7682,-25,-9,2804,-18,-56,2256,38,-35,304,up
734,193,-7317,844,-154,38170,-1447,216,-46341,-2034,-244,6463,511,-72,30121,804,56,-10975,352,28,-12378,228,24,-13902,179,93,-3475,-95,13,3658,-159,-38,12621,9,-62,853,15,102,-10609,51,-49,9634,-3,10,-4939,-7,0,-304,-20,11,4878,-35,-1,-365,38,-43,1219,-8,6,-4695,up
1033,-102,19695,1174,50,15548,-1541,352,-52804,-2580,-547,12256,331,79,-4878,1061,-56,-13231,312,220,13292,59,23,-10182,228,-6,19756,-85,118,-12804,20,2,9939,-40,22,6524,20,-25,2560,10,-9,-5792,20,-5,-2134,16,34,4207,4,-46,-182,-13,23,2012,-30,-24,6524,-44,30,-3902,up
726,334,-18170,1253,184,80853,-2562,-99,-50487,-1327,-517,67012,85,-398,-106280,1222,178,25731,328,173,-15243,316,-97,-7743,35,156,14024,-37,-23,13170,44,-41,-5121,-62,93,-3475,-20,-21,9573,141,-84,-365,-55,-99,-2682,84,149,-15060,-10,50,2073,38,-52,-1829,-100,30,2012,49,14,1158,up
849,-19,27987,1201,64,487,-1265,-230,44573,-2523,52,-107560,-318,122,-39390,1569,-221,97500,215,-89,-15000,-68,218,-24634,270,131,25365,-74,117,-14634,26,17,9390,33,-50,6036,0,32,-3475,18,-45,1646,-50,28,3597,-34,-27,-1646,36,17,-548,-17,-32,-4878,62,62,4695,-36,-59,304,up
716,-42,8414,1058,-122,53170,-818,197,-53109,-1908,-190,-95609,-1198,-55,24695,1325,-146,73109,625,299,11829,42,-154,-35792,171,263,4573,-22,54,15243,-70,-58,0,-67,-103,2865,113,42,-10060,-67,-22,-4756,19,-24,7682,-4,17,-2804,-54,87,-3719,65,-52,5670,16,64,-6890,-19,-10,1524,up
792,-297,3536,442,208,12987,-187,43,5487,-1221,-55,-57560,-1289,-10,61158,754,-115,-20853,468,-104,4207,197,93,-17865,59,103,1646,77,-26,5000,-12,26,-3170,1,-28,-792,-65,34,7317,44,-20,-4512,-56,78,-4695,-17,14,11646,15,-31,-1402,-2,-22,548,31,-42,-3475,11,21,731,up
744,160,2378,274,-230,36585,179,-77,30914,-564,151,-74390,-2645,-170,-88475,1115,214,52317,705,-236,67743,25,179,-27865,205,-9,10609,-20,119,-16829,-66,52,-365,20,-57,13170,8,0,-8170,-5,72,-548,-41,15,5182,63,-64,3475,-31,31,-4512,9,10,-121,25,-62,-121,-44,32,-2317,up
